Sample,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Class,QC,QC,QC,Blank,QC,QC,QC,Class 3,Class 1,Class 2,Class 1,Class 3,Class 3,QC,Class 4,Class 2,Class 4,Class 3,Class 4,Class 4,QC,Class 1,Class 1,Class 1,Class 1,Class 2,Class 2,QC,Class 3,Class 3,Class 4,Class 4,Class 2,Class 2,QC,QC,Blank
4078,948544,1072074,886942,NaN,NaN,1177450,NaN,907151,1254637,1397091,NaN,NaN,1177400,974865,1044609,NaN,962662,1230464,1180041,NaN,1064936,NaN,NaN,954361,NaN,1039083,NaN,NaN,NaN,NaN,985630,832406,1112346,NaN,703944,878583,NaN
4079,54771174,49146850,52610828,NaN,52717227,51926063,50602299,54035587,52867071,49921746,37160001,34162597,48075033,54050625,48903917,48058881,59478273,41083353,49691049,56971885,56479861,56181629,33492762,52162029,57309414,56638899,30679032,65255133,59519073,36991155,58005686,56163502,60765267,39730315,59388627,61073824,NaN
4080,974903,1438048,943007,1937439,996955,926108,675211,1550036,1982512,1256910,NaN,NaN,1120546,792868,1101308,2072074,2678463,1748693,2178664,550752,NaN,1016101,NaN,2141887,NaN,1628550,NaN,750445,NaN,NaN,910558,2133669,1011724,NaN,NaN,790402,NaN
4081,NaN,NaN,NaN,NaN,234968,256618,NaN,316516,NaN,2178201,6863480,1398793,3550551,NaN,2697430,374292,4017485,2007562,2041888,3434303,NaN,1390389,2479981,2345381,3018443,213316,298235,NaN,7247654,1377054,2082246,2853648,458239,1819491,NaN,NaN,140958
4082,5989398,1449738,867673,NaN,NaN,NaN,NaN,3868838,4334892,NaN,3113722,2734833,1346132,2486432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2137972,2924315,1110873,NaN,2684180,12879682,4987271,NaN,9603461,5192579,4508858,4317373,NaN,NaN,NaN,NaN
4083,14375139,11635030,12960975,NaN,11733875,12547059,13113036,14292758,12063721,11667206,8969020,7734395,10642339,12900272,12790499,11715057,13535125,9335194,11507750,14431590,13138772,14818997,7689217,12300560,13208455,13983989,8182442,14488444,13553115,9056350,15803912,14253576,14869275,8241783,NaN,14309850,NaN
4084,2117343,10219813,12022421,NaN,13404828,13847866,13349448,2495379,5947193,8971856,19734670,10517232,8448673,6950077,10518641,10222522,11614622,10037015,10640923,18355680,12732709,11390035,21790750,15453716,13775738,9846499,5269004,2051594,17753603,7739528,6925356,5502304,2437636,15133895,14109658,12724221,NaN
4085,11722551,25146465,13022851,5682125,24719045,33439577,26337586,5223827,5159946,7600639,4676533,6309123,5737652,55732099,16872058,9899365,9687288,38010470,43664868,4541284,23177771,14531381,10682178,30182162,9497864,33032525,40866345,70743917,9447220,6748431,19509702,5373623,6672452,5629559,10134753,74215428,4495489
4086,14851017,15499918,14714649,NaN,14640370,14920200,15122279,NaN,371488,4552662,102510809,15840066,3715460,15793983,4199704,75597412,NaN,NaN,29176763,NaN,16026531,NaN,8717328,7376024,11342752,NaN,NaN,15678137,NaN,NaN,NaN,NaN,4399373,5750632,15193230,14963099,NaN
4087,11624837,9516555,10622933,NaN,9926197,13501906,11552790,656820,NaN,3525435,23163682,5504843,2372447,13315944,3677199,54918249,NaN,NaN,20613138,NaN,8683939,NaN,NaN,6254037,7160707,3610441,NaN,10280012,NaN,NaN,6012326,NaN,3709888,1988254,7248889,12234920,NaN
4088,752441,784391,804912,NaN,703972,770359,801473,878121,777068,NaN,NaN,NaN,NaN,705790,NaN,1013374,856930,2168196,1133545,NaN,821386,753862,1045541,NaN,NaN,NaN,1380219,876986,NaN,667691,NaN,NaN,997082,909412,830695,757555,NaN
4089,4424396,3976768,NaN,NaN,5330896,4512188,4342233,4070794,2987235,2213207,8628512,3730574,4558771,4269070,5219575,11228519,6670757,13758693,10158315,2513824,4872738,NaN,5982890,7455205,5283076,NaN,5837762,5340818,8297729,4199954,NaN,2796221,4988711,6399960,4730506,5778083,343052
4090,20875663,19513212,19281776,NaN,17892580,19717126,19667312,19776128,19177284,18625356,13710228,10097135,18104949,18210943,19909716,18070793,20531290,14909118,19794107,23304735,20046459,21233419,11805503,19381676,21007278,20182715,12813352,NaN,24168638,12725265,22592338,NaN,21492373,12275822,22937425,21377452,NaN
4091,269972,446900,248599,543305,202398,NaN,294935,459898,500392,419667,NaN,NaN,NaN,NaN,484567,626533,794776,580920,475627,NaN,NaN,265716,NaN,407065,NaN,274136,NaN,NaN,NaN,NaN,NaN,800951,264015,NaN,NaN,NaN,NaN
4092,101400048,115782177,95219064,NaN,130698119,108894526,133502380,115992514,94321819,88463593,621181416,500546073,83602411,101157007,74311220,79448455,82694325,77957833,94624936,123462990,169096762,86623773,582242390,75682332,178895683,91076356,569382910,111289982,764295813,815973201,88753660,81139844,96332081,942149993,298054892,104809556,NaN
4093,1440628,2062929,2479570,NaN,2078218,1734756,1382223,2311711,NaN,1135351,2996736,2144453,NaN,1498740,1128287,1672845,693562,2936184,NaN,2942888,NaN,1784988,3211618,2403900,2230874,1412286,NaN,2002917,2739806,1339490,971951,NaN,NaN,2096938,2246398,1376075,NaN
4094,3815640,8641984,4268728,1989157,8318409,11794821,9344750,1524150,1577062,3655790,1303814,1673511,1549513,20220006,5513824,3423852,3121396,13327049,15364156,1129142,7621058,4805540,3240805,10696412,2764112,11516486,14481759,24352517,2879045,2076214,6525740,1665514,1987576,1654735,3315481,25961346,1507703
4095,1517681,1377689,1522262,NaN,1377475,1470823,1411724,NaN,3257109,NaN,1552715,1897653,NaN,1301610,2881181,NaN,1508470,NaN,NaN,NaN,1547787,2497442,5457051,3343332,NaN,NaN,4212013,1507958,NaN,4028054,NaN,2894380,NaN,5062282,1620287,1526858,NaN
4096,4435337,3912657,3716767,NaN,4679756,4844965,4618146,NaN,1436827,1501195,7613503,1856199,2825469,4534217,NaN,16297258,NaN,NaN,5916333,NaN,2291653,NaN,NaN,1321296,3510375,NaN,NaN,4260093,NaN,NaN,1017269,NaN,1984297,1860554,4729467,5062637,NaN
4097,4530454,4577165,4409528,NaN,4467966,4522739,4584188,NaN,NaN,1182563,31431784,4842419,NaN,4652242,1189055,22659219,NaN,NaN,8880529,NaN,4973471,NaN,2565568,2186649,3306527,NaN,NaN,4706769,NaN,NaN,NaN,NaN,1169190,1466061,4494523,4331701,NaN
4098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7560839,NaN,419282,3151981,8469968,724730,NaN,21146196,202833,8769684,932256,583040,13458173,NaN,NaN,13220907,8590107,8416522,NaN,25588528,NaN,1108035,2190819,2626268,1068840,NaN,654402,NaN,NaN,NaN
4099,15193143,16688870,17516435,NaN,18758067,18705968,20168607,10858472,9829163,13859609,76987375,23877714,NaN,13340987,6137802,21354946,11249121,19094060,33072931,29338389,19737432,5865908,33461022,20265682,30121839,18181071,19296828,13991904,38228482,NaN,9320490,4825507,11781503,29776862,23498481,18975673,NaN
4100,14289401,16118521,13365955,NaN,18331992,14816472,17888129,16037712,13428106,12503449,85260274,69482262,11749924,13803655,10558683,11318916,11516080,10501376,12794991,17521573,23604807,12130816,81142001,10614704,25859659,13056599,80766417,15607245,106670245,112914012,12502014,11200089,12930988,131732174,41077031,14358130,NaN
4101,1476150,3055332,1650165,555286,3107284,4411642,3672407,386782,473932,680147,NaN,355691,NaN,7484837,1654774,1055984,716450,5472496,5711595,NaN,2800005,1697454,1045924,3843884,739673,4043435,5342692,9339898,822357,NaN,2643620,472624,720610,536954,1018090,10025752,1572205
4102,NaN,360202,537354,NaN,364249,407002,416131,869416,526793,NaN,4068231,NaN,NaN,520730,708869,497583,NaN,325400,622913,267145,613670,NaN,1204950,355437,915061,240827,502676,830046,381104,NaN,254249,NaN,350900,1848170,995248,468851,NaN
4103,4073833,4728523,4413027,381380,4645302,4718198,4563717,3909994,3490989,3483746,NaN,NaN,4296032,3927051,4713986,7662432,3814436,6446552,5344643,3380717,4157946,4146917,4919137,4335699,1967420,5736577,2384925,4505398,NaN,NaN,3049933,NaN,6337445,3204879,4252559,5003109,NaN
4104,15604371,20421747,15258883,7927983,19801969,15066091,20464984,31046919,17006155,42789174,21156286,134302837,17743133,15402519,60342515,8281022,33937476,19771874,17931331,23910747,20582184,26948974,53814614,47363812,48114329,20433064,94731945,14932459,31407812,4773196,39996088,33235934,17675518,36293491,21559499,16334236,5793118
4105,17111887,25694009,25574739,NaN,29157389,27963213,30131200,13855710,11792827,23262868,79788983,33496162,2412217,21801418,16971897,28485619,16900036,44715895,38482677,34889977,32712346,12098176,76993655,44670839,36028817,23128017,22376855,17896302,45349362,23195363,9851586,4836684,19355937,46114053,33550830,29389351,NaN
4106,27301293,30965868,26053252,NaN,35380884,29576896,36195389,31018892,25387572,23154385,168215202,136786965,21905572,26376799,19815979,21017006,22597764,20480236,24628690,33817660,45835060,23418456,158950457,20652980,47867064,23980744,152721054,29130914,209393970,219897602,24137918,21431132,24894362,252536936,80573566,27703920,NaN
4107,16819225,17542680,15888526,NaN,15565475,15378815,16350661,18161994,34198488,22821826,30806748,37276749,19363192,18152269,24692593,17335433,18275133,3926655,6931540,33734719,16452572,19992396,32230851,15268785,23192890,34440270,44345720,18804919,24162447,41496863,34151515,18008115,28117954,28540252,16571205,15550774,NaN
4108,6150522,5875234,5905567,NaN,6208322,5907290,6055839,4229778,3598535,4224214,16990077,8470179,NaN,6162614,NaN,9149211,6329448,5000676,13449851,7211836,6050709,NaN,4714073,4713768,7031626,7657517,NaN,5844088,8446534,3979101,6433115,NaN,6741173,7481186,6593566,5799056,NaN
4109,528521,NaN,638257,NaN,NaN,586947,706749,717179,330786,NaN,1317183,NaN,1441534,NaN,492884,NaN,527473,NaN,NaN,1698906,686625,779534,NaN,811720,NaN,1333520,NaN,NaN,NaN,430368,829835,NaN,718323,831647,745822,NaN,NaN
4110,56231380,56434178,59538838,3382024,49098572,54613717,54505229,71985634,95661278,8175848,25683596,79160987,18354301,50069952,56506615,30360580,78550685,33980171,23247467,20593774,56386022,69341556,63382755,52207474,49746068,11917960,211412731,61496521,23803730,246823747,13541977,111272918,15321329,111585696,62314754,55953928,4205155
4111,4776772,5967991,4430764,2171032,5787465,4615751,5980302,9546775,5414815,14049564,6819733,42503383,5637964,4552721,18765639,2249283,10183212,5693019,5263176,7531116,6034582,7399853,16897023,14815091,14309665,6149578,29433141,4543132,9541587,1180095,12719105,10205432,5264320,10752289,7019759,4892880,1672969
4112,7305068,12242274,11332990,NaN,12901351,13671412,14402363,6995571,5049553,10188043,28792230,13957533,1038391,10126055,8320644,12633731,7438953,24493873,14794897,13367963,13266219,6105589,42273629,21993220,14142304,8880716,10103837,9123702,17845003,10103899,3314684,1313273,8577553,20672859,14840164,14730661,NaN
4113,12877193,21140374,21452664,NaN,23802106,22713665,23999090,11607429,9135995,18020177,64844022,27730846,NaN,16834485,11962183,23773256,13787806,31910821,32560638,29460776,25173311,9136389,58122532,31354312,30150299,18674342,15953883,13235757,36008699,16154006,6515526,1816603,14729536,35529960,27703875,22987273,NaN
4114,3149744,4175351,3509426,NaN,4240895,3531429,4743187,3792569,3180820,2801854,21553469,17216708,3073113,3571672,2564930,2782090,3004951,2545608,3144055,4416885,5664587,2677433,20837707,2477288,6452334,3129703,19113659,3636334,26926682,29507241,3009075,2637206,3092401,33444467,9811927,3472475,NaN
4115,19961935,16913740,19370157,275294,18238881,17679495,17626738,35028148,14974496,14541066,28323292,104411497,17157204,17192423,15131132,18874007,23810865,16069886,18465282,34913365,17149521,25432162,26072138,14505572,20260689,25076951,103974130,16127621,24881263,22305946,25774701,21219443,14476121,20724725,18503339,16756654,NaN
4116,13060911,12087548,13438648,NaN,12283043,12850519,13036534,17386355,24373875,NaN,6164549,18215365,4159547,13011511,13224491,6364247,18076698,7744264,3442435,4420852,12570640,17557335,14773224,11700642,12452360,10592509,53191335,14397860,8343248,59377061,3152536,27127733,1490484,28680421,15739376,13593520,NaN
4117,743733,573101,534617,504949,648634,477411,647564,NaN,729874,963188,7460000,25640278,1157712,588559,2514164,1281433,2218475,990614,1014499,2286520,840938,NaN,2703084,1039656,1928179,364375,992607,478625,NaN,NaN,995754,NaN,NaN,2231651,830867,768729,497776
4118,7219100,8976049,8330043,905419,9261277,7346549,9288613,4528471,3359788,3192783,5127430,14130890,6385387,7138828,29124838,1623097,9896073,3023545,4185692,7164069,9344615,NaN,71584966,13975879,15019407,1314838,32226348,7378988,NaN,3966776,32990746,2723842,2450742,19557394,9699978,7818412,595246
4119,NaN,5387135,5633061,NaN,5840104,6002632,6588614,NaN,NaN,4879228,11722888,NaN,NaN,4586990,NaN,5595529,NaN,10057241,6652270,6597310,6750904,NaN,18201151,9803182,6356568,NaN,NaN,NaN,7520169,NaN,NaN,NaN,NaN,9037694,6132477,5538244,NaN
4120,704998080,706218103,720782044,NaN,687408185,680136889,702876848,756648674,661386149,597837084,897167428,770545480,566967765,688762635,597426748,604677268,755513463,552348373,622248013,901682638,712065146,690499215,644158161,584217721,849774481,804520588,844120699,699181415,1059248523,945274980,790377614,684755772,595772616,936487498,727642730,717404701,NaN
4121,2991241,6052197,5273730,NaN,6269720,6084725,6225101,3039886,1543308,4385801,18110916,6866795,NaN,4528027,2935939,6475643,2605844,8729294,7539499,8364633,6252187,2508245,14457110,8075807,8611421,5341128,4157726,2909141,11158976,4305761,801614,NaN,3933769,10604301,7492103,6246870,NaN
4122,2437931,3036024,2483828,NaN,3543556,3241169,3652963,2938427,2528047,2503929,18519214,15167458,2415645,2824865,1936380,1769104,2347006,1982844,2263082,3750934,4533377,2324230,16421789,1978704,5529047,2720215,16888434,3041701,22625372,25074161,2632549,2287007,2521938,28747832,8855365,3012727,NaN
4123,4766469,4738813,4846438,NaN,5066128,4079666,4785409,4557980,4998786,4060696,3124480,15763019,4271911,3851493,NaN,4548761,7485271,10719152,7990176,5324692,4456047,6080624,6500938,NaN,7813021,3242632,17693196,3652570,9359773,12724562,4758907,7990003,NaN,3136806,4463136,3126629,NaN
4124,35570130,35986436,36512624,NaN,36570752,35472766,37471368,46082931,42911300,35818266,55667438,35447309,45345803,36631167,43261940,29261293,30701744,10848401,19840950,33959021,39183821,32965528,49730703,42731003,39916927,29011976,59218552,36448509,41838926,51030582,28822828,38751050,46159631,55497677,41152048,38752320,NaN
4125,5070789,4769478,4737232,NaN,4722930,4364967,NaN,6806953,4004936,4009172,NaN,8367044,7353508,4203303,5495658,3111301,5123108,3539810,NaN,7122647,4932631,NaN,4827385,4876825,NaN,NaN,NaN,4658281,NaN,NaN,4136559,5240091,3910003,NaN,NaN,4594157,NaN
4126,5629898,5862712,5050498,NaN,6219501,5666030,5015122,6963261,11371862,NaN,1569214,7678453,NaN,4541095,5600490,3681690,9128388,2877022,NaN,NaN,5770468,6272193,7054474,3830855,4679165,3708584,20838872,7370425,NaN,26064161,NaN,12433645,NaN,12383719,7468694,5950925,NaN
4127,2240774,3000086,2424375,NaN,2921839,2298066,3055061,1127289,847641,1421901,2040712,3639108,1625462,2377058,11801550,NaN,3139123,1479234,1221419,2257980,3152049,NaN,23884285,5680604,4337605,348948,11250848,2388731,480594,1041636,NaN,401742,714487,2664022,2051288,2279493,NaN
4128,1198510,1310021,1446653,1915014,1129150,938062,1117490,1539602,1663657,882608,NaN,620796,1689894,937726,1128707,NaN,1375245,2012004,955981,1589456,1342531,NaN,NaN,511204,1331370,1086733,NaN,1312136,NaN,NaN,834494,2039378,1949688,829401,1124667,1418282,NaN
4129,50431711,49546525,50360951,NaN,49600423,47873989,50775218,53714566,46746852,43042529,61990225,54698566,40089606,48122275,43160788,42617815,52774722,39378582,44106643,63669485,51103878,48915074,44853309,41602684,59918794,56357255,57713720,49700162,74345545,65631426,55868973,48125677,43629573,67625902,52576368,50463093,NaN
4130,1210921,1993564,2124256,NaN,2148566,1870634,2400313,NaN,853256,1484934,6676556,1705293,NaN,1185188,594875,2195292,NaN,2193196,2509789,2703792,1882406,402457,3331517,1627156,2484260,1348911,NaN,NaN,3650520,729957,NaN,NaN,672897,2338791,2278879,1737158,NaN
4131,7276127,7325813,7142770,NaN,7348526,7125792,7427968,9205596,8417999,7024973,11137595,NaN,9025435,7426986,8850393,6109560,6212929,NaN,NaN,6841446,7655214,6783708,NaN,8554858,7255553,NaN,11949422,7273311,8608815,9856035,5619046,7505375,9256386,10875437,8297307,7697283,NaN
4132,19425804,23818694,20830478,NaN,23402447,21510129,24738110,18052904,18556378,17712829,31531583,10183835,22606123,19305721,22553893,50838659,14046950,28081894,16926316,17787580,23440956,NaN,24940785,15316519,10104144,14778256,21662510,18916938,30638848,11078258,13076505,14588218,27074007,14343178,22079963,20047077,NaN
4133,371404611,368354872,378705539,NaN,363949039,359446470,371197683,404798823,348503192,316723040,471367473,406661666,299510999,363875126,316672350,320009242,402466772,291676970,329448018,478934053,381020288,361944641,337139373,313251795,452079901,422205902,443720658,366450893,563389368,501434979,419980231,358740101,313998694,493017894,381827920,376142826,NaN
4134,171954438,166383773,174054668,NaN,170749259,174486610,165518910,202773712,163018905,139830097,144783386,116762588,152923926,165870302,162561055,148804632,178661111,115388904,145846912,220389692,175799793,183042498,111984232,156055509,177508584,204304846,143404805,179693290,194153483,134455788,221733959,177396293,169146175,128318818,196651074,167033154,NaN
4135,68873219,69590947,70290872,NaN,63717379,60701780,64489912,76256011,68030171,45917918,35823859,72481386,57588699,59351746,47813413,32327693,67029803,NaN,17512575,81746547,59777545,71984565,38002160,28869686,84444098,74710026,120804763,61812000,99518945,104322600,85691225,83529701,41827030,80150833,68535997,67240820,NaN
4136,NaN,293578,286702,NaN,NaN,401705,371184,419390,346214,451357,NaN,NaN,432619,NaN,343956,338201,409627,NaN,387138,422049,320721,500912,466212,NaN,NaN,325808,NaN,NaN,278969,566605,NaN,310364,372609,291897,328094,NaN,NaN
4137,3688557,NaN,NaN,NaN,NaN,3973547,3400293,397319,4524730,3657158,6137578,2959315,4895613,NaN,4419101,NaN,423058,780174,347460,664551,4232537,NaN,5653429,4403550,3851976,2878116,6320776,NaN,3840946,5269742,NaN,NaN,4776390,5930504,4381409,4086220,NaN
4138,1774976,NaN,NaN,NaN,NaN,2105432,2046757,NaN,1953133,2124726,NaN,1018863,1945453,NaN,2990034,NaN,2667799,1648182,NaN,NaN,1799169,NaN,317700,1803770,2029281,3014521,1790467,NaN,1842550,NaN,NaN,NaN,1534149,1484918,NaN,1964819,NaN
4139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,436999,417956,1876860,NaN,692715,454783,430959,222780,NaN,418014,309523,NaN,578439,403912,NaN,328991,NaN,279370,335525,444037,283316,601716,341686,NaN,NaN,270161,354464,NaN,405358,NaN
4140,6346977,7192061,5634502,NaN,7818183,7604165,6854651,5039652,6582891,5410787,8221211,3213070,7131130,5305263,6125213,15931152,NaN,7308608,4701800,5745141,6337227,NaN,8017875,3566128,3790696,4719851,7311261,7274658,10462108,2793520,3394065,5736916,8455670,5015778,6582459,5684869,NaN
4141,1692917,1887971,1860359,NaN,2095555,1794544,1831293,NaN,1797446,1920141,2559051,3029568,1757221,1985110,1868440,NaN,NaN,1827010,2008834,NaN,2012391,NaN,2983603,2052805,2127105,2016290,2595768,2000207,2417952,2279259,1829992,2223606,1865847,3122634,1944692,2004663,1853106
4142,2367098,1352194,2203559,1885281,1930412,2906941,2665499,3954938,2341891,NaN,NaN,NaN,NaN,2677902,NaN,4293151,4437173,1667902,2570561,3859982,2375010,50574554,NaN,NaN,1555733,2879534,NaN,2348161,NaN,NaN,NaN,3530749,2712611,NaN,2086839,2907884,1394012
4143,25777797,26224925,26789876,NaN,25448555,25293236,26471034,28102290,24682802,22278184,33152686,28380931,21433961,25464706,21810950,22610118,27973413,20373473,23245702,33648490,26821010,25825525,23963315,22573845,31964249,29793063,30940240,25844545,39883775,35366029,29116654,24829872,22690992,34319542,26300407,27424227,NaN
4144,16197813,20979927,21655617,NaN,22730636,22776531,23480451,16417047,16330848,20218753,45004318,18768617,17451225,18928385,20921697,22570067,17247523,26607041,42613819,23346930,22388677,17971579,28709710,28227497,21653254,17948448,16624063,17577265,23290404,19002780,14300967,16425357,18729514,25321053,23410154,23631038,NaN
4145,5239458,NaN,4866750,NaN,5230992,4800974,5722666,6271169,NaN,NaN,NaN,6254996,5785556,NaN,NaN,3982584,NaN,NaN,NaN,9124153,5632634,NaN,4459078,3467830,8659710,NaN,16195432,NaN,NaN,13409439,7391753,NaN,4270165,9338675,NaN,5669390,NaN
4146,25330288,23480819,26764358,NaN,26681431,26591065,23382272,30199057,23675348,19356736,19943294,17822796,22877251,25269467,24439609,21337369,26629912,17916206,21151012,32880894,26867289,27222099,14114524,23231916,26443353,29003550,21430609,26991950,29425150,18698972,34689677,26574810,25365458,17400947,28725444,25033251,NaN
4147,16379258,16648603,15836270,NaN,16337177,16270317,15688254,19859248,22987972,13048863,24724893,27266483,18199690,15299970,32419743,20462315,18208184,1718028,17056649,6535115,15957738,17854400,16858997,17528734,19691737,4386914,24461829,17795406,6175498,16078647,4462600,18523298,5406451,41823435,17509095,17154230,NaN
4148,1420112,1511374,1554710,NaN,1492805,1432383,1684233,1510975,2311747,636923,2678993,2100752,992255,1377544,1171797,1038084,1933072,NaN,942173,4732868,1475872,2454688,1906222,275264,1614172,1933127,3217786,1150678,2209302,2862394,1202748,1858433,715070,1397141,1264239,1151355,NaN
4149,337267,383196,373276,NaN,NaN,NaN,425245,936272,NaN,291788,503947,960688,284544,420023,NaN,NaN,565797,368306,345370,679200,330434,865928,549240,NaN,1131602,363256,1257963,409184,530276,995303,449468,608771,NaN,365113,476794,397726,NaN
4150,5422491,5381158,5246296,NaN,5537186,5275605,5287816,4273816,11533301,2630969,3134762,11082014,NaN,5419265,13560611,3449957,7347001,5743759,2887891,1480432,5772349,9045563,12066706,13744617,8095149,2727524,30320030,5444384,NaN,9273071,NaN,8934881,NaN,25327661,6363378,5858427,NaN
4151,11006829,11413890,9278601,7004604,9396383,8226399,8636560,11172911,8439636,61274021,226013441,62923811,111326458,11542756,84359773,20677814,119593241,70237301,66934765,111035134,9057235,49288525,75440966,74587933,103925563,11637537,10913542,9343413,220341521,45988873,66144644,95693388,20154369,69416184,9635863,7988866,5572561
4152,84627889,85197639,87393703,NaN,83009198,81686431,85315408,89541047,77763377,72354112,108590399,92499026,69430147,83720833,72928829,71828645,91237491,66655301,74815434,107622862,85683218,82988020,76452154,70068448,100794130,96831115,101780569,82521749,127499551,115171393,94582211,81462900,72017456,111570249,86588165,87319416,NaN
4153,3283114,4452997,3515224,3486814,4117324,3346313,3957552,5072597,2866484,29996187,119392085,27393714,64661748,3517564,44899134,8922175,69984447,35427388,34808003,60458760,3740490,4776016,36223262,39863244,45329824,3929787,6414391,3444542,125939643,23097225,30595825,52034818,9425787,32180069,4446235,3718555,2656187
4154,24155311,33926150,34168660,NaN,36343851,35153098,36525657,21444577,20214197,30549963,70967632,34001031,10822128,26581297,25825259,32656781,22786536,49067970,46296709,36467660,34079211,21064498,65766887,46488281,34716847,26476683,24969524,23688881,39863405,29081493,15396720,10769208,27409302,46733178,38141745,37509586,NaN
4155,31672417,29738924,31207344,NaN,31583675,32812940,30302293,36485626,30973407,25671911,28177711,20751036,29341417,31902441,30326344,26834123,34413957,22793030,27126973,43481076,33199385,33860134,20011938,30911570,34578150,38482045,27126600,31519976,36325858,24626440,40205099,32645774,32529650,22415163,37625082,29951534,NaN
4156,3029230,2725413,3066658,NaN,2730998,3067354,3083816,3392612,4164200,2496400,4822348,4833254,3320990,3302643,5731890,3881386,2729944,NaN,3302968,NaN,3429265,3837000,3333166,3295590,3119161,NaN,4058793,2651355,NaN,2395370,468821,3326773,433637,8379332,3323556,3033058,NaN
4157,6562199,7032265,6543815,NaN,6149153,6060707,6413951,6826634,9812862,2829785,11553138,8465094,4010242,6079716,4788313,4164520,7940990,NaN,3621504,19314379,6337885,10125339,7340927,1614698,6578237,7864089,13185377,5344892,8677414,11652150,4856277,7717590,3303397,5393361,5619839,5376669,NaN
4158,54125880,54494768,54764050,NaN,55195909,51104443,56431280,52251873,54036470,47458817,90390489,110299327,53685839,50037169,48646553,52485358,47429985,48779984,46188908,48314417,51194547,51029356,112095663,55456368,49721411,45434371,103711222,48014440,62761091,90120799,47454325,49692643,44759191,79799805,57432047,50745009,NaN
4159,11115704,9311764,10265330,NaN,9955601,10292264,9215630,NaN,14631436,NaN,NaN,NaN,NaN,11113630,30838248,14206621,NaN,30441179,NaN,NaN,7544650,4035462,52442017,36773872,NaN,NaN,NaN,9116292,NaN,NaN,NaN,NaN,NaN,19917965,10151795,10729020,NaN
4160,1436203,1368326,1476103,NaN,1415818,1513343,1303589,NaN,3292117,NaN,NaN,NaN,NaN,1548596,3424075,984179,2087861,1141648,3791081,NaN,1623362,2569689,3040632,3673978,NaN,NaN,3100266,1400511,NaN,2763314,NaN,2808318,NaN,6487312,1797766,1579431,NaN
4161,1568563,2263716,1843811,1828275,2446808,1524655,2269091,6121251,1645853,15179992,49843783,20046306,27310825,1678370,6170856,2671780,30538401,4472761,16432724,26296175,1972439,15288885,6924045,3641709,25647304,7023641,13003788,1709488,48365284,10117998,17206277,23345327,5230178,4722778,2434675,908873,1732467
4162,6097232,6131426,5844422,NaN,5381605,5855021,5372976,6842259,5300734,4771771,6836666,5767785,NaN,4952461,4621149,5229748,6334442,4638549,5489943,7557703,5476177,4887461,4777401,5161439,7437313,6536921,6508003,5876174,9053141,7233996,6434989,6082857,5048249,7470526,6115511,6392119,NaN
4163,270600,319730,277942,217533,342126,292472,285852,360135,NaN,2931611,11627845,2860657,5798689,NaN,4912312,878418,8158097,3150458,3261892,5710786,353212,339684,4264947,3708260,4376445,371726,1463655,238746,11920139,2393463,3010742,4909465,697927,3111203,340780,339017,199502
4164,14943053,15599984,13739897,NaN,14643380,14068013,16025989,16628825,12250593,14325787,55233137,41163522,15342434,14546302,12326303,12674107,13257882,12905538,12598156,16167737,17201573,12611417,50630722,10843390,23150602,15857299,64446849,17002295,34077381,49392340,14580279,13933272,12057898,41278307,19382013,17366321,NaN
4165,14164545,19908141,21757453,NaN,22341848,22433719,22711404,15172370,13152809,20912994,84437005,32236529,5561191,18377975,13987801,23861911,14146604,38844842,41552559,29944696,24663696,12278891,45435209,27213756,24448765,20676941,21085975,14332542,39102449,25118889,10178139,6240321,17535433,37450809,27007231,23356342,NaN
4166,3151323,NaN,NaN,NaN,NaN,NaN,3336741,3733135,2727232,NaN,NaN,NaN,3010121,2175404,2864085,2448871,4174726,NaN,3016119,4304886,NaN,3577937,1992431,2871537,NaN,3372939,NaN,3405447,2607051,NaN,3827270,3042184,3419775,NaN,NaN,2615995,NaN
4167,912280,727074,852132,NaN,894509,923797,910984,1071975,497350,676140,1399337,1926406,898371,837167,763756,780942,584462,665404,652101,1041130,1043490,NaN,1388630,NaN,1125495,985148,1829488,955156,1344692,1815946,912757,795108,699934,1669920,1272281,844012,NaN
4168,1837101,2389012,2401425,NaN,2406107,2530550,2591995,1974857,1658239,2172049,9170082,4071232,915301,1986044,1503752,2692043,2779214,1944561,4255863,2956831,2624920,1119208,4397226,1622121,1689575,2179782,4322186,2033017,4804413,2925400,1757256,1140980,2074552,3547416,2529760,2222512,NaN
4169,6003237,5753501,5692508,NaN,5247643,5161544,5531689,5572899,5623864,6342879,12655948,10199147,4370644,5412802,5012832,6393483,4718553,8864011,10538101,10804249,5640967,4793821,11054002,5793025,7912235,6567204,6441605,5629374,6620026,7098272,7659260,4611551,5011052,7845148,6495165,5732613,NaN
4170,1614702,1979279,1613024,NaN,1567574,1523280,1653362,1637581,2450502,738806,2998600,2178075,918297,1504365,1108448,999812,1949650,NaN,947478,4948211,1675111,2566632,2027529,391853,1496895,1892663,3422370,1300633,2122136,2926092,1253523,1959315,791836,1303896,1547675,1361175,NaN
