Sample,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Class,QC,QC,QC,Blank,QC,QC,QC,Class 3,Class 1,Class 2,Class 1,Class 3,Class 3,QC,Class 4,Class 2,Class 4,Class 3,Class 4,Class 4,QC,Class 1,Class 1,Class 1,Class 1,Class 2,Class 2,QC,Class 3,Class 3,Class 4,Class 4,Class 2,Class 2,QC,QC,Blank
32,81339946,83676291,81031491,NaN,83106805,80991687,82244851,136817723,23028662,39631322,130215474,280584733,21457758,79952081,13442017,58712196,148132315,240194454,101620552,78685220,87038814,46702568,52356272,32029206,221965800,63702554,137649232,84889405,72543233,60812558,41267528,47597897,33583086,37530114,90746325,87145987,NaN
33,111271094,111638201,108404511,NaN,115651390,108650661,110364957,107065801,127964996,127854413,158247745,101886623,110284915,105694575,126754936,105580112,84739196,96908678,105532689,100657609,111146029,96041401,143664541,128881216,108158122,100960697,147660935,110406665,125165585,131103260,96165741,90249799,133675894,162408028,115451132,114039947,NaN
34,10348005,11009504,11245224,NaN,13176526,13084979,12062257,13530326,15674789,13520370,11024054,12335910,21704033,10891288,9719427,7021147,13684944,8055602,7868097,13104884,14269119,12206588,18906423,13877474,13280506,11257728,28718161,12072706,13380283,17491887,11559729,14818787,9736927,18001768,16003129,12442475,NaN
35,6797838,7061136,6402105,4464805,7014902,5832394,7630074,5538834,7459746,7600537,15589190,15411911,8643461,6388163,14073119,10531478,10321496,8273394,6410661,11856818,7547397,2583597,13632170,8153306,10330889,7859031,9950299,6104355,10802977,10277589,7415747,8839644,8400049,10274483,7843858,6361977,2502782
36,116617936,115765870,113703326,10163966,108032111,106305584,109960523,109127027,105006090,109198749,127219449,135219257,72747700,120786899,85306733,102336003,101313592,105491842,89623946,117447014,118444632,94107604,123329386,96533844,132651188,130219975,141955963,121913326,153466354,138005831,107493209,103781811,125263015,135903343,123070524,116961860,12368037
37,20487052,21232407,18821822,NaN,23658229,22174688,22461282,23091166,13641288,15259841,13430039,17958238,13191599,21836352,8538547,18231070,21895050,18078273,15982976,29670033,22258465,14212304,9808560,18014597,22485725,19919338,22471445,21099488,23981178,13526186,22820357,16178723,59707292,12903085,23140721,20681112,NaN
38,2687953,2713511,2716968,NaN,2647596,2546581,2516389,NaN,NaN,2853480,NaN,NaN,3681109,2571770,2665173,NaN,NaN,NaN,NaN,NaN,2491781,NaN,3066966,2260134,4380314,NaN,NaN,2725078,NaN,NaN,NaN,2776989,2497435,NaN,2684622,2759228,NaN
39,13867486,14197229,13742471,NaN,13704752,12626422,13381616,16420795,14889642,11101051,8101458,16838080,14505636,13352628,13006660,9658491,17384004,NaN,5816395,17139751,13767939,15679820,8321076,7137846,16625076,15066131,23650034,14188572,19139932,22125602,16452566,16624933,10552805,16283281,14037872,14461167,NaN
40,1010128323,999142414,999624818,NaN,991816239,982960647,1017969039,1128165333,832773980,605797462,937591914,688868338,746104085,981909701,808276388,553713734,993109945,456714737,650274777,1273029950,1039910273,1018918132,1220794005,931948213,849647419,1294040191,1358221075,1037057540,1350022005,1387549536,1183433926,918545736,928823880,1125312103,1107393291,1057456871,NaN
41,12848145,13488386,13265137,1149482,12154834,11991999,12530469,12380520,11608540,12326295,14522949,15493766,8248621,14299629,9409409,11718611,11780998,12017230,9730513,12818775,13689232,10863943,13597578,11273746,15091685,14550340,15886889,13594430,16563335,14929180,12170843,11869105,14488633,15484771,13925995,12938066,1535281
