"Sample"," 4"," 5"," 6"," 7"," 8"," 9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37"
"Class","Blank","QC","QC","QC","Class 3","Class 1","Class 2","Class 1","Class 3","Class 3","QC","Class 4","Class 2","Class 4","Class 3","Class 4","Class 4","QC","Class 1","Class 1","Class 1","Class 1","Class 2","Class 2","QC","Class 3","Class 3","Class 4","Class 4","Class 2","Class 2","QC","QC","Blank"
"60","NaN","29371913","28717142","29211334","33398519","24370207","25711142","30760407","35092711","25452166","28128096","35628398","22324840","33694275","19932651","20092878","46148166","30502596","31818441","39660894","24268338","36761942","40500988","64736603","30906204","51419648","46600124","36168605","27808131","23059247","33864953","36027069","29985575","NaN"
"61","NaN","14866431","14908090","15235679","18753982","24210718","20784447","11730292","9929880","19276143","15287922","21026932","16082444","19261020","13582742","17745519","23485989","14281685","21035427","11566500","17347950","17984029","14614447","8706580","13715083","6517887","6083716","15520930","18440049","16190088","11637169","14796496","14053298","NaN"
"62","NaN","480893830","468200720","482454031","176342017","323124227","1868269528","1301020021","332677576","535668109","460837934","494054467","140506570","142491470","727927873","801628508","113294206","497787228","131883487","1022175678","309514211","118832680","61135562","1496124974","471153640","161655542","158941340","76093433","187024930","1007431080","403510207","524877910","481058786","NaN"
"66","NaN","8367067143","7989135127","8551937657","8169146294","8017710372","7540019178","5757245019","4373797416","6773414631","8101985321","7168705823","7301991493","7894779101","8774726189","7984454904","7681619014","8862942494","6935228269","4410402510","7384070932","10181244489","8675051310","5216508608","8367712999","13582972115","5551748397","8355601818","8345251313","7946554815","13855803015","9664355796","8725416680","NaN"
"69","NaN","189692206","195321038","197448555","280639983","144987902","118852140","147962626","NaN","96223472","188876247","66428457","88082515","213379277","63904967","109956984","256220451","186631449","195264398","NaN","98646359","240994612","420243704","144861073","180550805","146042949","152821305","248054708","143164324","132664000","204447689","180517636","164471954","NaN"
"77","NaN","371217267","357222940","380999254","364139151","358331247","336865668","258161255","195842447","300806562","360634078","318757070","328768376","350702941","393233621","357449353","339302242","396007680","308372750","199071645","331406239","452014323","387389555","234081254","379902311","603979557","249648030","373505623","371960372","356222503","618168649","436559272","388076102","NaN"
"78","NaN","6638041","7125900","7455156","9740800","5270080","6507837","6408045","9179676","6514114","7200685","8168247","7010143","10926099","NaN","5201952","10741846","7979954","7986360","6480944","6857494","7767151","9557910","13148146","7552673","10728684","8394214","8523028","12378982","6324931","7251289","8890282","7604883","NaN"
"79","NaN","5771516","5168127","5225043","6557978","3669895","6694587","8956732","4899572","8383207","5405720","7532948","5856763","4045750","5057587","4697784","4646462","5430473","3212940","6403782","4053995","9580497","NaN","5464147","5519954","3580181","4062374","3372608","4888267","4344210","11206540","5103484","5063237","NaN"
"80","NaN","8027645","8909125","8594432","9892374","7306459","7459374","477824112","9607277","7284271","8432887","10050307","7469255","376837089","7323636","6743011","386307106","9314038","10229388","10550349","7604881","403895877","400458890","15985072","9796382","14377766","419894777","10322735","8215457","7032628","9744642","9723470","9313792","NaN"
"81","NaN","12781337","14217381","13689460","19692169","10650582","8598148","10280522","3433155","6825228","12941709","4547800","6297753","14720373","4253086","7971910","17806712","12871867","13566716","NaN","6841897","16274360","29177674","9801931","12827324","9882882","6244096","17964234","10060822","9470455","14849562","12010526","11870185","NaN"
"83","NaN","19188953","18419716","19799340","17618284","18313788","16206213","28796820","20309370","14462000","18832492","16343103","17364199","17779676","11420432","19206698","20897302","20255293","18072280","27058858","18242021","21579869","20217852","23097287","20148462","25054277","21470537","21228857","17043638","19123818","22958181","21654376","19686241","NaN"
"84","NaN","5668366","5705622","5604952","8863367","3775763","3895484","5166696","4632964","3469155","5744415","4285105","4137725","7025192","4359794","3399141","6883905","6061093","5599555","4699874","4164665","7068107","8049212","8446744","5607932","8642118","8659245","6898436","5114293","4459697","5662148","6187725","5608723","NaN"
"85","NaN","1220645622","1164883976","1211662260","1837966465","883269624","869146182","943645494","831341537","791943236","1150142296","956347892","838892247","1445279728","922500694","766821199","1605662593","1205025918","1273614026","1165011647","887246073","1199160289","1809598571","1595424254","1131045296","1785707079","1791385631","1440440378","1067841534","990615235","1184184647","1235137932","1116812730","6726787"
"86","NaN","52831640","56387937","52932987","84340784","NaN","54219113","45792989","51307128","50322694","55272732","47440441","35735471","68933318","NaN","NaN","70933744","57463551","59043128","48833146","45671794","50404173","77550936","99795356","56292879","87374303","69721922","68359065","72911175","42663054","52224168","58854391","54927664","NaN"
"88","NaN","131358199","130354424","133178682","195064660","60115186","69481933","75295661","60485132","44693489","131583494","28171758","48085003","169715103","51556996","87146339","145492618","139152403","192209139","47755677","103091793","181672848","308224889","287930691","130944374","128084621","90283267","151575128","132168830","71570442","120015437","135265134","130936264","NaN"
"89","   578605"," 69851059"," 66761034"," 69760087","104097737"," 49580671"," 48550181"," 54351774"," 46323260"," 44581929"," 65604752"," 54283768"," 46828959"," 81660912"," 53096978"," 43387652"," 91869571"," 69289069"," 73799980"," 67459578"," 49806980"," 68896219","103290403"," 90847850"," 63924546","101028145","104350289"," 82904002"," 60290708"," 55493683"," 67535513"," 69854798"," 63541069","   304919"
"92","NaN","8763740","8503099","8923720","13076540","3401416","4630820","4843893","3973967","2857537","8810917","1708641","3176316","11478242","3284794","5735916","9858174","9287382","13248622","2898641","6919110","12399583","21046279","18919882","8459202","8474828","5944129","10128517","8802839","4535209","7493465","9263691","8315000","NaN"
"95","NaN","22212157","21707741","21743468","23610858","19977843","20678045","28677195","29261662","18597956","21808385","19908285","18827867","20309159","17268914","19723376","25674096","24458408","21171746","33809952","18296527","30796551","28214463","43013565","21951039","32712879","37779212","26380205","22924834","17508793","30138435","25481086","22443094","NaN"
"99","NaN","52302011","53439259","52232596","55966197","58941139","44448502","39923688","80281488","53073336","50758372","61807163","33786422","60024249","14334635","40464114","81087344","55465796","57727832","66183416","48278620","64567452","70683144","95403800","57708865","71475214","93176344","68037737","57067830","43795559","62835148","63772104","57429852","NaN"
